,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
6690,1000291.031174883,0.0,1000291.031174883,1000291.031174883,18123.67560116291
6691,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18721.47628486579
6692,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18721.4472304944
6693,824431.2645821685,0.0,824431.2645821685,824431.2645821685,15203.27260959603
6694,520848.8958456703,0.0,520848.8958456703,520848.8958456703,9962.165562784206
6695,497400.1817642582,0.0,497400.1817642582,497400.1817642582,9545.165343462686
6696,477668.0358405568,0.0,477668.0358405568,477668.0358405568,9192.730748405407
6697,602543.2288157014,0.0,602543.2288157014,602543.2288157014,11400.221305227838
6698,560379.0445484729,0.0,560379.0445484729,560379.0445484729,10660.743246416678
6699,514446.54294001515,0.0,514446.54294001515,514446.54294001515,9848.427144998257
6700,539621.1190541927,0.0,539621.1190541927,539621.1190541927,10294.506380873809
6701,471818.17554430116,0.0,471818.17554430116,471818.17554430116,9087.903939850781
6702,521939.9377225901,0.0,521939.9377225901,521939.9377225901,9981.392695630897
6703,644355.2121576199,0.0,644355.2121576199,644355.2121576199,12127.795640334529
6704,424542.53961474955,0.0,424542.53961474955,424542.53961474955,8236.556418598142
6705,531840.9870553362,0.0,531840.9870553362,531840.9870553362,10156.794771566865
6706,248176.45326803435,0.0,248176.45326803435,248176.45326803435,4975.739301670566
6707,299705.07602521434,0.0,299705.07602521434,299705.07602521434,5943.866455665478
6708,322317.2698151341,0.0,322317.2698151341,322317.2698151341,6364.378932932238
6709,132561.67062473643,0.0,132561.67062473643,132561.67062473643,2742.344349682874
6710,205950.10840771467,0.0,205950.10840771467,205950.10840771467,4170.978401887682
6711,182145.15502703862,0.0,182145.15502703862,182145.15502703862,3712.162785913503
6712,141329.27694005758,0.0,141329.27694005758,141329.27694005758,2915.3877798760245
6713,0.0,0.0,0.0,0.0,0.0
6714,193424.39763728413,0.0,193424.39763728413,193424.39763728413,3274.767124354676
6715,0.0,0.0,0.0,0.0,0.0
6716,0.0,0.0,0.0,0.0,0.0
6717,0.0,0.0,0.0,0.0,0.0
6718,31629.300958562697,0.0,31629.300958562697,31629.300958562697,546.9407544741131
6719,77657.39247334842,0.0,77657.39247334842,77657.39247334842,1445.3176713867
6720,229064.81599835257,0.0,229064.81599835257,229064.81599835257,4347.375360181129
6721,347227.4498314727,0.0,347227.4498314727,347227.4498314727,6823.669735325028
6722,485619.99007694476,0.0,485619.99007694476,485619.99007694476,9333.21675878584
6723,422768.7324151951,0.0,422768.7324151951,422768.7324151951,8203.018262330635
6724,537795.9411061059,0.0,537795.9411061059,537795.9411061059,10260.414074891996
6725,440561.2590776522,0.0,440561.2590776522,440561.2590776522,8524.467451048082
6726,382150.0524203882,0.0,382150.0524203882,382150.0524203882,7464.30073821353
6727,263487.890658001,0.0,263487.890658001,263487.890658001,5263.944546054068
6728,241410.86602953557,0.0,241410.86602953557,241410.86602953557,4846.622745540648
6729,83216.64339935017,0.0,83216.64339935017,83216.64339935017,1729.3093754014287
6730,61395.98301570179,0.0,61395.98301570179,61395.98301570179,1277.324526538812
6731,89094.03031656676,0.0,89094.03031656676,89094.03031656676,1755.0550760082867
6732,103005.92441895707,0.0,103005.92441895707,103005.92441895707,2097.8487405307515
6733,100951.34617069416,0.0,100951.34617069416,100951.34617069416,2099.636929383556
6734,125267.51417294594,0.0,125267.51417294594,125267.51417294594,2537.584266984263
6735,164284.64132718308,0.0,164284.64132718308,164284.64132718308,3364.4006787966246
6736,218630.87050857628,0.0,218630.87050857628,218630.87050857628,4412.787441008557
6737,437221.4882386455,0.0,437221.4882386455,437221.4882386455,8463.772356283076
6738,994390.952407203,0.0,994390.952407203,994390.952407203,18022.78327333761
6739,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.202870624707
6740,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.173815176084
6741,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.144759720137
6742,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.115704256867
6743,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.08664878627
6744,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.057593308353
6745,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18717.02853782311
6746,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,18716.99948233054
