,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
57,354858.1655370716,0.0,354858.1655370716,354858.1655370716,7057.777589950307
58,397064.197780744,0.0,397064.197780744,397064.197780744,7832.891002431366
59,452656.0497130003,0.0,452656.0497130003,452656.0497130003,8840.811336570478
60,514408.95873096626,0.0,514408.95873096626,514408.95873096626,9944.37268870188
61,574706.1616210595,0.0,574706.1616210595,574706.1616210595,11006.800821183451
62,555714.1494177453,0.0,555714.1494177453,555714.1494177453,10673.689662638217
63,550935.4994746209,0.0,550935.4994746209,550935.4994746209,10589.641448412112
64,648592.6114712033,0.0,648592.6114712033,648592.6114712033,12289.722861742239
65,689822.4695813227,0.0,689822.4695813227,689822.4695813227,12997.097530944564
66,652394.4160476184,0.0,652394.4160476184,652394.4160476184,12355.16317513024
67,652394.4160476184,0.0,652394.4160476184,652394.4160476184,12355.14436315173
68,673254.6561882067,0.0,673254.6561882067,673254.6561882067,12713.491478655378
69,701610.0694450006,0.0,701610.0694450006,701610.0694450006,13198.183245220838
70,745501.7682483927,0.0,745501.7682483927,745501.7682483927,13943.112614430138
71,742683.3445130987,0.0,742683.3445130987,742683.3445130987,13895.447058764676
72,682131.771517004,0.0,682131.771517004,682131.771517004,12865.456377583483
73,626443.7396167194,0.0,626443.7396167194,626443.7396167194,11907.063622613234
74,596308.6804617302,0.0,596308.6804617302,596308.6804617302,11383.774874963696
75,588673.214839434,0.0,588673.214839434,588673.214839434,11250.63851550316
76,532250.9086519564,0.0,532250.9086519564,532250.9086519564,10260.001016741402
77,502506.15234141424,0.0,502506.15234141424,502506.15234141424,9732.654662231862
78,491304.5097104121,0.0,491304.5097104121,491304.5097104121,9533.104369732395
79,501108.22726742283,0.0,501108.22726742283,501108.22726742283,9707.752128541984
80,491881.98431307153,0.0,491881.98431307153,491881.98431307153,9543.374410368497
81,492727.50452381023,0.0,492727.50452381023,492727.50452381023,9558.437257246282
82,456792.8955674088,0.0,456792.8955674088,456792.8955674088,8914.930726289542
83,461789.12003532803,0.0,461789.12003532803,461789.12003532803,9004.720711886363
84,590569.1950559762,0.0,590569.1950559762,590569.1950559762,11283.560895813944
85,683551.8483937127,0.0,683551.8483937127,683551.8483937127,12889.504239428636
86,725168.4379604367,0.0,725168.4379604367,725168.4379604367,13598.4781252134
87,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15124.367628490203
88,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15124.344834656968
89,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15124.322040818097
90,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15124.299246973616
